964.5216,920.5024
994.7848,909.2080
962.2048,850.1296
477.7040,665.6544
496.0936,693.3112
504.2024,675.6456
588.9104,680.8584
569.9416,672.4600
612.6576,679.2656
637.8528,667.9712
709.2392,697.9448
724.1536,721.2576
734.1448,708.9496
602.9560,698.9584
548.8008,715.6104
527.5152,712.4248
536.2032,737.3304
778.5984,664.3512
593.3992,712.8592
588.4760,698.9584
780.6256,672.0256
610.6304,768.6072
822.1832,687.5192
805.2416,695.7728
851.8672,730.9592
857.3696,680.4240
1017.0840,749.0592
962.4944,699.2480
957.7160,705.7640
1136.2544,787.2864
1109.7560,834.0568
1354.1784,576.7472
1366.7760,551.9864
1294.3760,567.1904
1202.1384,579.3536
1094.1176,563.1360
1080.6512,551.5520
1070.8048,551.9864
1089.4840,578.9192
1064.8680,566.7560
1032.4328,522.5920
1021.8624,515.0624
995.3640,518.5376
983.3456,523.0264
978.1328,492.1840
971.3272,490.8808
962.2048,496.2384
980.3048,497.8312
1007.8168,516.6552
989.7168,498.9896
1056.1800,490.8808
1112.3624,599.0464
1130.6072,606.8656
945.2632,528.6736
803.6488,625.6896
773.9648,641.0384
830.8712,657.4008
815.9568,643.3552
726.9048,557.4888
585.2904,578.4848
478.8624,558.0680
450.4816,552.2760
453.9568,585.7248
398.2088,598.4672
378.5160,626.9928
307.9984,589.7792
341.5920,607.0104
353.7552,601.6528
332.7592,537.5064
326.8224,514.1936
379.3848,518.2480
350.5696,528.3840
352.7416,536.6376
397.7744,669.1296
402.5528,678.1072
442.3728,644.2240
424.9968,628.5856
260.6488,588.1864
401.5392,556.4752
83.9928,484.5096
64.7344,385.9008
112.3736,359.9816
94.8528,314.2248
79.5040,396.6160
211.9960,455.2600
204.4664,438.0288
189.8416,445.2688
115.2696,454.3912
154.9448,457.2872
160.1576,469.5952
141.7680,476.9800
144.2296,417.0328
196.6472,349.2664
184.1944,350.5696
184.7736,415.0056
190.5656,424.9968
147.4152,396.1816
261.8072,471.3328
312.1976,375.7648
368.8144,359.9816
421.9560,445.2688
424.9968,454.1016
419.4944,462.0656
399.3672,472.4912
377.7920,465.9752
356.5064,463.3688
343.6192,469.1608
305.8264,478.5728
505.0712,388.2176
514.9176,370.8416
544.3120,383.4392
503.3336,425.1416
612.5128,401.8288
667.5368,419.2048
662.6136,382.1360
661.0208,366.2080
644.2240,375.0408
708.5152,379.6744
714.4520,423.1144
704.1712,409.7928
646.6856,414.5712
555.8960,406.1728
559.0816,417.0328
603.2456,332.9040
733.8552,325.0848
976.6848,343.1848
954.5304,323.6368
803.2144,474.0840
940.9192,477.7040
794.6712,316.6864
1131.0416,386.9144
1109.1768,386.1904
1087.8912,380.1088
1076.8864,373.0136
1036.4872,359.9816
1021.5728,305.9712
1034.8944,309.4464
1048.9400,337.1032
1085.2848,328.4152
1122.3536,322.7680
1293.6520,241.3904
1316.9648,246.8928
1234.7184,177.9680
1158.8432,234.8744
1346.3592,272.6672
1346.3592,272.6672
1268.8912,200.2672
1210.2472,175.7960
1221.1072,197.2264
1111.7832,181.5880
1099.7648,206.7832
1091.3664,219.0912
1108.7424,228.5032
1046.0440,230.9648
952.0688,269.7712
930.0592,250.0784
935.2720,277.0112
897.6240,149.8768
903.1264,224.8832
1054.0080,221.6976
1089.4840,196.3576
1080.9408,290.7672
